1,UTC 2020/04/03 14:31:25,Nation,Confirmed Case,Death,Recover
2,1,AFGHANISTAN,273.0,7.0,10.0
3,2,ALBANIA,304.0,16.0,89.0
4,3,ALGERIA,986.0,86.0,61.0
5,4,ANGOLA,8.0,2.0,1.0
6,5,ANTIGUA AND BARBUDA,9.0,0.0,0.0
7,6,ARGENTINA,1265.0,39.0,256.0
8,7,ARMENIA,736.0,7.0,43.0
9,8,ARUBA,60.0,0.0,1.0
10,9,AUSTRALIA,5350.0,28.0,649.0
11,10,AUSTRIA,11412.0,168.0,2022.0
12,11,AZERBAIJAN,443.0,5.0,32.0
13,12,BAHAMAS,24.0,1.0,1.0
14,13,BAHRAIN,672.0,4.0,382.0
15,14,BANGLADESH,61.0,6.0,26.0
16,15,BARBADOS,46.0,0.0,0.0
17,16,BELARUS,351.0,4.0,58.0
18,17,BELGIUM,16770.0,1143.0,2872.0
19,18,BELIZE,3.0,0.0,0.0
20,19,BENIN,13.0,0.0,1.0
21,20,BHUTAN,5.0,0.0,2.0
22,21,BOLIVIA,132.0,9.0,1.0
23,22,BOSNIA-HERZEGOVINA,568.0,17.0,27.0
24,23,BOTSWANA,4.0,1.0,0.0
25,24,BRAZIL,8165.0,332.0,127.0
26,25,BRUNEI,134.0,2.0,65.0
27,26,BULGARIA,485.0,14.0,30.0
28,27,BURKINA FASO,288.0,16.0,50.0
29,28,BURUNDI,3.0,0.0,0.0
30,29,CABO VERDE,6.0,1.0,0.0
31,30,CAMBODIA,114.0,0.0,35.0
32,31,CAMEROON,306.0,7.0,10.0
33,32,CANADA,11284.0,173.0,1979.0
34,33,CENTRAL AFRICAN REPUBLIC,8.0,0.0,0.0
35,34,CHAD,8.0,0.0,0.0
36,35,CHANNEL ISLANDS,232.0,4.0,13.0
37,36,CHILE,3737.0,22.0,427.0
38,37,"CHINA, Mainland",81623.0,3322.0,76577.0
39,38,HONG KONG,845.0,4.0,173.0
40,39,MACAU,42.0,0.0,10.0
41,40,TAIWAN,348.0,5.0,50.0
42,41,COLOMBIA,1161.0,19.0,55.0
43,42,COMOROS,0.0,0.0,0.0
44,43,CONGO,22.0,2.0,2.0
45,44,COSTA RICA,396.0,2.0,6.0
46,45,COTE D'IVOIRE,194.0,1.0,15.0
47,46,CROATIA,1079.0,8.0,92.0
48,47,CUBA,233.0,6.0,13.0
49,48,CURACAO,11.0,1.0,3.0
50,49,CYPRUS,356.0,10.0,28.0
51,50,CZECH REPUBLIC,3869.0,46.0,71.0
52,51,DPR KOREA,0.0,0.0,0.0
53,52,DR CONGO,134.0,13.0,3.0
54,53,DENMARK,3672.0,139.0,1193.0
55,54,DJIBOUTI,49.0,0.0,8.0
56,55,DOMINICAN REPUBLIC,1488.0,68.0,16.0
57,56,ECUADOR,3302.0,120.0,65.0
58,57,EGYPT,865.0,58.0,201.0
59,58,EL SALVADOR,46.0,2.0,0.0
60,59,EQUATORIAL GUINEA,15.0,0.0,1.0
61,60,ERITREA,22.0,0.0,0.0
62,61,ESTONIA,961.0,12.0,48.0
63,62,ESWATINI,9.0,0.0,1.0
64,63,ETHIOPIA,35.0,0.0,3.0
65,64,FIJI,7.0,0.0,0.0
66,65,FINLAND,1637.0,20.0,10.0
67,66,FRANCE,59105.0,5387.0,12428.0
68,67,FRENCH GUIANA,51.0,0.0,15.0
69,68,FRENCH POLYNESIA,37.0,0.0,0.0
70,69,GABON,21.0,1.0,1.0
71,70,GAMBIA,4.0,1.0,2.0
72,71,GEORGIA,148.0,0.0,27.0
73,72,GERMANY,88010.0,1180.0,25080.0
74,73,GHANA,204.0,5.0,31.0
75,74,GREECE,1544.0,53.0,61.0
76,75,GRENADA,10.0,0.0,0.0
77,76,GUADELOUPE,128.0,6.0,24.0
78,77,GUAM,82.0,3.0,0.0
79,78,GUATEMALA,47.0,1.0,12.0
80,79,GUINEA,52.0,1.0,1.0
81,80,GUINEA-BISSAU,9.0,0.0,0.0
82,81,GUYANA,19.0,4.0,0.0
83,82,HAITI,18.0,0.0,1.0
84,83,HONDURAS,222.0,15.0,3.0
85,84,HUNGARY,623.0,26.0,43.0
86,85,ICELAND,1364.0,4.0,309.0
87,86,INDIA,2897.0,75.0,206.0
88,87,INDONESIA,1986.0,181.0,134.0
89,88,IRAN,53183.0,3294.0,17935.0
90,89,IRAQ,772.0,54.0,202.0
91,90,IRELAND,3849.0,98.0,5.0
92,91,ISRAEL,7030.0,39.0,357.0
93,92,ITALY,115495.0,13974.0,18278.0
94,93,JAMAICA,47.0,3.0,2.0
95,94,JAPAN,3110.0,77.0,514.0
96,95,JORDAN,299.0,5.0,45.0
97,96,KAZAKHSTAN,460.0,6.0,29.0
98,97,KENYA,122.0,4.0,4.0
99,98,KIRIBATI,0.0,0.0,0.0
100,99,KUWAIT,417.0,0.0,82.0
101,100,KYRGYZSTAN,130.0,1.0,5.0
102,101,LAOS,10.0,0.0,0.0
103,102,LATVIA,493.0,1.0,30.0
104,103,LEBANON,508.0,17.0,46.0
105,104,LESOTHO,0.0,0.0,0.0
106,105,LIBERIA,7.0,0.0,0.0
107,106,LIBYA,11.0,1.0,1.0
108,107,LITHUANIA,696.0,9.0,7.0
109,108,LUXEMBOURG,2487.0,30.0,80.0
110,109,MADAGASCAR,59.0,0.0,0.0
111,110,MALAWI,3.0,0.0,0.0
112,111,MALAYSIA,3333.0,53.0,827.0
113,112,MALDIVES,19.0,0.0,13.0
114,113,MALI,36.0,3.0,0.0
115,114,MALTA,202.0,0.0,2.0
116,115,MARTINIQUE,138.0,3.0,27.0
117,116,MAURITANIA,6.0,1.0,2.0
118,117,MAURITIUS,186.0,7.0,0.0
119,118,MAYOTTE,116.0,1.0,10.0
120,119,MEXICO,1510.0,50.0,633.0
121,120,MICRONESIA (FED. STATES OF),0.0,0.0,0.0
122,121,MONGOLIA,14.0,0.0,2.0
123,122,MONTENEGRO,160.0,2.0,0.0
124,123,MOROCCO,735.0,47.0,49.0
125,124,MOZAMBIQUE,10.0,0.0,0.0
126,125,MYANMAR,20.0,1.0,0.0
127,126,NAMIBIA,14.0,0.0,3.0
128,127,NEPAL,6.0,0.0,1.0
129,128,NETHERLANDS,15723.0,1487.0,250.0
130,129,NEW CALEDONIA,18.0,0.0,1.0
131,130,NEW ZEALAND,868.0,1.0,103.0
132,131,NICARAGUA,5.0,1.0,0.0
133,132,NIGER,98.0,5.0,0.0
134,133,NIGERIA,190.0,2.0,20.0
135,134,N. MACEDONIA,430.0,11.0,17.0
136,135,NORWAY,5296.0,56.0,32.0
137,136,OMAN,252.0,1.0,57.0
138,137,PAKISTAN,2458.0,35.0,126.0
139,138,PANAMA,1475.0,37.0,10.0
140,139,PAPUA NEW GUINEA,1.0,0.0,0.0
141,140,PARAGUAY,92.0,3.0,4.0
142,141,PERU,1414.0,55.0,537.0
143,142,PHILIPPINES,3018.0,136.0,52.0
144,143,POLAND,3149.0,59.0,56.0
145,144,PORTUGAL,9886.0,246.0,68.0
146,145,PUERTO RICO,316.0,11.0,2.0
147,146,QATAR,949.0,3.0,72.0
148,147,S. KOREA,10062.0,174.0,6021.0
149,148,MOLDOVA,505.0,6.0,26.0
150,149,REUNION,308.0,0.0,40.0
151,150,ROMANIA,3183.0,122.0,283.0
152,151,RUSSIA,4149.0,34.0,281.0
153,152,RWANDA,84.0,0.0,0.0
154,153,SAINT LUCIA,13.0,0.0,1.0
155,154,SAINT VINCENT,3.0,0.0,1.0
156,155,SAMOA,0.0,0.0,0.0
157,156,SAO TOME AND PRINCIPE,0.0,0.0,0.0
158,157,SAUDI ARABIA,2039.0,25.0,351.0
159,158,SENEGAL,207.0,1.0,66.0
160,159,SERBIA,1476.0,39.0,42.0
161,160,SEYCHELLES,10.0,0.0,0.0
162,161,SIERRA LEONE,2.0,0.0,0.0
163,162,SINGAPORE,1114.0,5.0,282.0
164,163,SLOVAKIA,450.0,1.0,2.0
165,164,SLOVENIA,934.0,20.0,70.0
166,165,SOLOMON ISLANDS,0.0,0.0,0.0
167,166,SOMALIA,5.0,0.0,1.0
168,167,S. AFRICA,1462.0,5.0,95.0
169,168,S. SUDAN,0.0,0.0,0.0
170,169,SPAIN,117710.0,10935.0,30513.0
171,170,SRI LANKA,152.0,4.0,24.0
172,171,PALESTINE,171.0,1.0,18.0
173,172,SUDAN,8.0,2.0,2.0
174,173,SURINAME,10.0,0.0,0.0
175,174,SWEDEN,6078.0,333.0,103.0
176,175,SWITZERLAND,19303.0,573.0,4846.0
177,176,SYRIAN ARAB REPUBLIC,16.0,2.0,0.0
178,177,TAJIKISTAN,0.0,0.0,0.0
179,178,THAILAND,1978.0,19.0,581.0
180,179,TIMOR-LESTE,1.0,0.0,0.0
181,180,TOGO,40.0,3.0,17.0
182,181,TONGA,0.0,0.0,0.0
183,182,TRINIDAD AND TOBAGO,97.0,6.0,1.0
184,183,TUNISIA,455.0,14.0,5.0
185,184,TURKEY,18135.0,356.0,415.0
186,185,TURKMENISTAN,0.0,0.0,0.0
187,186,UGANDA,45.0,0.0,0.0
188,187,UKRAINE,942.0,23.0,19.0
189,188,UAE,1024.0,8.0,96.0
190,189,UNITED KINGDOM,38168.0,3605.0,135.0
191,190,TANZANIA,20.0,1.0,3.0
192,191,UNITED STATES,245693.0,6099.0,10411.0
193,192,US VIRGIN ISLANDS,30.0,0.0,0.0
194,193,URUGUAY,369.0,4.0,68.0
195,194,UZBEKISTAN,221.0,2.0,25.0
196,195,VANUATU,0.0,0.0,0.0
197,196,VENEZUELA,146.0,5.0,43.0
198,197,VIETNAM,237.0,0.0,85.0
199,198,WESTERN SAHARA,0.0,0.0,0.0
200,199,YEMEN,0.0,0.0,0.0
201,200,ZAMBIA,39.0,1.0,2.0
202,201,ZIMBABWE,9.0,1.0,0.0
203,202,OTHER,721.0,13.0,619.0
204,203,SAN MARINO,245.0,30.0,21.0
205,204,MONACO,60.0,1.0,2.0
206,205,ANDORRA,439.0,16.0,16.0
207,206,LIECHTENSTEIN,75.0,0.0,0.0
208,207,FAEROE ISLANDS,179.0,0.0,91.0
209,208,GIBRALTAR,88.0,0.0,46.0
210,209,VATICAN CITY,7.0,0.0,0.0
211,210,SAINT BARTHELEMY,6.0,0.0,1.0
212,211,SAINT MARTIN,22.0,1.0,2.0
213,212,CAYMAN ISLAND,28.0,1.0,0.0
214,213,KOSOVO,0.0,0.0,0.0
215,214,GREENLAND,10.0,0.0,3.0
216,215,MONTSERRAT,5.0,0.0,0.0
217,216,SINT MAARTEN,23.0,2.0,6.0
218,217,BERMUDA,35.0,0.0,11.0
219,218,ISLE OF MAN,114.0,1.0,0.0
220,219,DOMINICA,12.0,0.0,0.0
221,220,TURKS AND CAICOS,6.0,0.0,0.0
222,221,BRITISH VIRGIN ISLANDS,3.0,0.0,0.0
223,222,ST.KITTS AND NEVIS,9.0,0.0,0.0
224,223,ANGUILLA,3.0,0.0,0.0
225,224,NORTHERN MARIANA ISLANDS,6.0,0.0,0.0
226,225,noname18,0.0,0.0,0.0
227,,,,,
228,,,,,
229,,,,,
230,,,,,
231,,,,,
232,,,,,
233,,,,,
234,,,,,
235,,,,,
236,,,,,
237,,,,,
238,,,,,
239,,,,,
240,,,,,
241,,,,,
242,,,,,
243,,,,,
244,,,,,
245,,,,,
246,,,,,
247,,,,,
248,,,,,
249,,,,,
250,,,,,
251,"Note 1. number of overseas territories should be deducted from total US, UK, FR numbers",,,,
